"ID","CODE_GENDER","FLAG_OWN_INSURANCE","FLAG_OWN_REALTY","CNT_EMPLOYEES","CREDIT_REQUESTED_TOTAL","NAME_BUSINESS_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_EXISTENCE","DAYS_CONTRACTED","FLAG_MOBIL","FLAG_WORK_PHONE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_EMPLOYEES (#1)","First(STATUS)","First(MONTHS_BALAN0E)","Selected (JavaScript Table View)"
0,"M","Y","Y",0,0,"Working","Civil marriage","Rented apartment",0,0,0,0,0,0,"Missing",0,"0","0",0
0,"M","Y","Y",0,0,"Working","Married","House / apartment",0,0,0,0,0,0,"Security staff",0,"0","0",0
0,"F","N","Y",0,0,"Commercial associate","Single / not married","House / apartment",0,0,0,0,0,0,"Sales staff",0,"0","0",0
0,"F","N","Y",0,0,"Commercial associate","Single / not married","House / apartment",0,0,0,0,0,0,"Sales staff",0,"Missing","-22",0
0,"F","N","Y",0,0,"Pensioner","Separated","House / apartment",0,0,0,0,0,0,"Missing",0,"0","-4",0
0,"F","N","Y",0,0,"Pensioner","Separated","House / apartment",0,0,0,0,0,0,"Missing",0,"0","0",0
0,"F","N","Y",0,0,"Pensioner","Separated","House / apartment",0,0,0,0,0,0,"Missing",0,"0","-1",0
0,"M","Y","Y",0,0,"Working","Married","House / apartment",0,0,0,0,0,0,"Accountants",0,"0","0",0
0,"M","Y","Y",0,0,"Working","Married","House / apartment",0,0,0,0,0,0,"Accountants",0,"Missing","0",0
0,"M","Y","Y",0,0,"Commercial associate","Married","House / apartment",0,0,0,0,0,0,"Laborers",0,"Missing","-10",0
0,"M","Y","Y",0,0,"Commercial associate","Married","House / apartment",0,0,0,0,0,0,"Laborers",0,"Missing","-8",0
0,"M","Y","Y",0,0,"Commercial associate","Married","House / apartment",0,0,0,0,0,0,"Laborers",0,"Missing","0",0
0,"M","Y","Y",0,0,"Commercial associate","Married","House / apartment",0,0,0,0,0,0,"Laborers",0,"Missing","-14",0
0,"M","Y","Y",0,0,"Commercial associate","Married","House / apartment",0,0,0,0,0,0,"Laborers",0,"Missing","-3",0
0,"M","Y","Y",0,0,"Commercial associate","Married","House / apartment",0,0,0,0,0,0,"Laborers",0,"0","0",0
0,"F","Y","N",0,0,"Working","Married","House / apartment",0,0,0,0,0,0,"Accountants",0,"0","0",0
0,"F","Y","N",0,0,"Working","Married","House / apartment",0,0,0,0,0,0,"Accountants",0,"0","-1",0
0,"F","N","Y",0,0,"Working","Married","House / apartment",0,0,0,0,0,0,"Laborers",0,"0","0",0
